,QP,DR,DL,AR,AL,RR,RL,LR,LL
0,-15.0,858+/-6,805+/-8,716+/-9,813+/-10,64+/-4,1516+/-22,1494+/-19,87+/-4
1,-13.333333333333334,705+/-19,934+/-18,862+/-15,637+/-12,75+/-4,1501+/-21,1488+/-11,103.8+/-2.7
2,-11.666666666666666,560+/-10,1122+/-21,1020+/-15,518+/-16,114+/-7,1456+/-13,1465+/-11,153+/-8
3,-10.0,426+/-8,1249+/-8,1171+/-16,385+/-5,192+/-5,(1.38+/-0.04)e+03,1437+/-5,207+/-4
4,-8.333333333333332,349+/-9,1303+/-15,1204+/-17,307+/-5,237+/-9,1275+/-14,1350+/-18,257+/-11
5,-6.666666666666666,274+/-10,1355+/-19,1288+/-18,243+/-6,305+/-9,1222+/-9,1273+/-18,323+/-8
6,-5.0,233.8+/-3.3,1415+/-11,1367+/-12,195.0+/-3.4,352+/-9,1165+/-12,1250+/-22,379+/-11
7,-3.333333333333332,188.2+/-3.2,1437+/-13,1407+/-29,170+/-4,416+/-7,1149+/-22,1181+/-12,425+/-9
8,-1.666666666666666,184+/-7,1438+/-5,1418+/-13,153+/-6,445.6+/-2.9,1087+/-19,1172+/-15,471+/-12
9,0.0,172+/-4,1434+/-34,1393+/-13,142+/-7,454+/-12,1059+/-13,1156+/-15,477+/-5
