,QP,DR,DL,AR,AL,RR,RL,LR,LL
0,-22.0,1437+/-17,271+/-11,221+/-7,1357+/-20,402+/-7,1314+/-16,1159+/-17,391+/-11
1,-21.586206896551722,1393+/-18,286+/-10,233+/-10,1307+/-10,353+/-6,1322+/-28,1202+/-6,335+/-12
2,-21.17241379310345,1341+/-14,330+/-6,273+/-7,1253+/-24,303+/-11,1366+/-14,1250+/-20,293+/-7
3,-20.75862068965517,1321+/-11,394+/-12,305+/-6,1198+/-26,260+/-7,1416+/-7,1281+/-13,259+/-6
4,-20.344827586206897,1276+/-16,437+/-6,347+/-9,1170+/-17,230+/-9,1447+/-7,1344+/-19,226+/-7
5,-19.93103448275862,1216+/-26,491+/-12,391+/-14,1153+/-14,180+/-5,1468+/-13,1349+/-15,193+/-7
6,-19.517241379310345,1169+/-22,533+/-6,438+/-6,1085+/-11,161+/-9,1499+/-24,1392+/-14,180+/-8
7,-19.103448275862068,1123+/-16,600+/-13,476+/-12,1045+/-12,141+/-4,1510+/-25,1419+/-12,142.4+/-2.1
8,-18.689655172413794,1069+/-26,623+/-6,532+/-9,995+/-12,117+/-5,1497+/-9,1454+/-24,135.8+/-2.6
9,-18.275862068965516,1039+/-14,685+/-10,569+/-12,964+/-10,103+/-8,1493+/-11,1451+/-11,118+/-4
10,-17.862068965517242,998+/-21,739+/-10,613+/-9,894+/-22,87+/-4,1508+/-6,1474+/-5,111+/-6
11,-17.448275862068964,887+/-11,780+/-15,651+/-15,866+/-16,77+/-5,1514+/-12,1486+/-22,116+/-4
12,-17.03448275862069,896+/-6,850+/-14,700+/-10,817+/-8,79.0+/-2.2,1550+/-19,1520+/-20,112+/-5
13,-16.620689655172413,830+/-10,871+/-8,732+/-11,779+/-14,66+/-5,1504+/-17,1517+/-10,114.2+/-3.5
14,-16.20689655172414,782+/-12,915+/-10,807+/-21,704+/-6,74+/-4,1505+/-10,1518+/-13,112+/-7
15,-15.793103448275861,728+/-6,985+/-14,865+/-21,666+/-11,73.0+/-3.5,1515+/-23,1532+/-10,121.0+/-3.0
16,-15.379310344827587,690+/-8,1002+/-9,910+/-16,614+/-12,82+/-4,1510+/-9,1525+/-16,134+/-5
17,-14.96551724137931,629+/-17,1052+/-5,967+/-6,588+/-9,91+/-5,1489+/-15,1514+/-15,138+/-4
18,-14.551724137931036,592+/-16,1115+/-12,980+/-10,549+/-9,112+/-7,1479+/-20,1478+/-11,158+/-6
19,-14.137931034482758,557+/-6,1148+/-8,1045+/-17,512+/-9,112.8+/-3.5,1484+/-16,1497+/-15,167+/-4
20,-13.724137931034482,542+/-24,1159+/-20,1080+/-12,471.6+/-3.3,137+/-8,1406+/-8,1468+/-20,181+/-6
21,-13.310344827586206,504+/-10,1201+/-17,1083+/-8,452+/-8,158.6+/-3.1,1410+/-17,1444+/-11,209+/-7
22,-12.89655172413793,441+/-8,1244+/-12,1128+/-19,404+/-12,184+/-7,1419+/-19,1427+/-4,211+/-8
23,-12.482758620689655,411+/-4,1255+/-23,1163+/-8,388+/-10,192+/-4,1345+/-6,1450+/-15,247+/-7
24,-12.068965517241379,392+/-12,1282+/-21,1202+/-10,357+/-6,206+/-5,1371+/-22,1398+/-10,268+/-7
25,-11.655172413793103,376+/-6,1331+/-18,1239+/-13,330+/-7,227+/-8,1333+/-20,1375+/-17,289+/-5
26,-11.241379310344827,328+/-5,1333+/-12,1239+/-18,321+/-7,246+/-7,1278+/-15,1398+/-17,308+/-8
27,-10.827586206896552,310+/-9,1338+/-18,1292+/-5,296+/-6,272+/-5,1278+/-7,1307+/-4,339+/-5
28,-10.413793103448276,294+/-12,1362+/-20,1301+/-12,270+/-8,293+/-10,1261+/-10,1332+/-14,370+/-5
29,-10.0,261+/-5,1392+/-21,1295+/-9,246+/-9,319+/-10,1242+/-20,1293+/-14,386+/-11
