,QP,DR,DL,AR,AL,RR,RL,LR,LL
0,-15.0,933+/-10,774+/-13,678+/-12,842+/-14,72+/-4,1528+/-17,1518+/-33,99+/-5
1,-14.777777777777779,853+/-9,792+/-6,710+/-21,824+/-8,66+/-5,1513+/-11,1522+/-25,95+/-5
2,-14.555555555555555,858+/-8,806+/-21,722+/-11,813+/-10,69+/-4,1542+/-17,1527+/-8,95+/-4
3,-14.333333333333334,836+/-8,840+/-19,744+/-16,783+/-18,64.6+/-2.0,1543+/-29,1530+/-6,92+/-5
4,-14.11111111111111,(8.3+/-0.4)e+02,854+/-18,767+/-19,788+/-9,63+/-4,1537+/-19,1520+/-8,91.4+/-2.0
5,-13.88888888888889,789+/-5,855+/-15,793+/-13,775+/-9,65+/-4,1524+/-28,1485+/-17,91.4+/-3.5
6,-13.666666666666666,774+/-9,894+/-17,795+/-11,754+/-16,71.2+/-2.6,1528+/-12,1518+/-21,92.6+/-1.8
7,-13.444444444444445,760+/-8,932+/-7,819+/-13,710+/-12,67.2+/-2.0,1492+/-5,1495+/-27,96+/-5
8,-13.222222222222221,742+/-14,956+/-11,848+/-13,715+/-10,72.2+/-2.5,1540+/-27,1533+/-17,102.2+/-2.4
9,-13.0,702+/-10,958+/-8,865+/-12,668+/-10,80.0+/-2.0,1499+/-17,1497+/-12,101+/-4
